2024-12-14 11:12: Experiment log path in: ./
2024-12-14 11:22: **********Train Epoch 23: averaged Loss: 20.023348
2024-12-14 11:22: **********Val Epoch 23: average Loss: 20.560973
2024-12-14 11:22: Train Epoch 24: 0/164 Loss: 19.824446
2024-12-14 11:23: Train Epoch 24: 20/164 Loss: 16.928127
2024-12-14 11:23: Train Epoch 24: 40/164 Loss: 16.191933
2024-12-14 11:23: Train Epoch 24: 60/164 Loss: 19.929440
2024-12-14 11:23: Train Epoch 24: 80/164 Loss: 17.297958
2024-12-14 11:23: Train Epoch 24: 100/164 Loss: 18.722162
2024-12-14 11:23: Train Epoch 24: 120/164 Loss: 18.303493
2024-12-14 11:23: Train Epoch 24: 140/164 Loss: 20.136873
2024-12-14 11:23: Train Epoch 24: 160/164 Loss: 20.244513
2024-12-14 11:23: **********Train Epoch 24: averaged Loss: 19.800886
2024-12-14 11:23: **********Val Epoch 24: average Loss: 20.425942
2024-12-14 11:23: Train Epoch 25: 0/164 Loss: 17.643396
2024-12-14 11:23: Train Epoch 25: 20/164 Loss: 18.260401
2024-12-14 11:23: Train Epoch 25: 40/164 Loss: 17.200722
2024-12-14 11:23: Train Epoch 25: 60/164 Loss: 18.653488
2024-12-14 11:23: Train Epoch 25: 80/164 Loss: 21.390854
2024-12-14 11:23: Train Epoch 25: 100/164 Loss: 20.394350
2024-12-14 11:23: Train Epoch 25: 120/164 Loss: 19.326849
2024-12-14 11:23: Train Epoch 25: 140/164 Loss: 23.804665
2024-12-14 11:23: Train Epoch 25: 160/164 Loss: 16.689644
2024-12-14 11:23: **********Train Epoch 25: averaged Loss: 19.489542
2024-12-14 11:23: **********Val Epoch 25: average Loss: 19.990279
2024-12-14 11:23: Train Epoch 26: 0/164 Loss: 18.565264
2024-12-14 11:23: Train Epoch 26: 20/164 Loss: 15.558056
2024-12-14 11:23: Train Epoch 26: 40/164 Loss: 19.111698
2024-12-14 11:24: Train Epoch 26: 60/164 Loss: 23.016258
2024-12-14 11:24: Train Epoch 26: 80/164 Loss: 18.974669
2024-12-14 11:24: Train Epoch 26: 100/164 Loss: 18.482027
2024-12-14 11:24: Train Epoch 26: 120/164 Loss: 17.620478
2024-12-14 11:24: Train Epoch 26: 140/164 Loss: 18.964691
2024-12-14 11:24: Train Epoch 26: 160/164 Loss: 18.499296
2024-12-14 11:24: **********Train Epoch 26: averaged Loss: 19.272353
2024-12-14 11:24: **********Val Epoch 26: average Loss: 19.507297
2024-12-14 11:24: Train Epoch 27: 0/164 Loss: 15.842902
2024-12-14 11:24: Train Epoch 27: 20/164 Loss: 19.864670
2024-12-14 11:24: Train Epoch 27: 40/164 Loss: 17.480246
2024-12-14 11:24: Train Epoch 27: 60/164 Loss: 19.787838
2024-12-14 11:24: Train Epoch 27: 80/164 Loss: 18.482824
2024-12-14 11:24: Train Epoch 27: 100/164 Loss: 19.519913
2024-12-14 11:24: Train Epoch 27: 120/164 Loss: 17.411055
2024-12-14 11:24: Train Epoch 27: 140/164 Loss: 19.650837
2024-12-14 11:24: Train Epoch 27: 160/164 Loss: 17.303755
2024-12-14 11:24: **********Train Epoch 27: averaged Loss: 19.146104
2024-12-14 11:24: **********Val Epoch 27: average Loss: 20.172499
2024-12-14 11:24: Train Epoch 28: 0/164 Loss: 19.183313
2024-12-14 11:24: Train Epoch 28: 20/164 Loss: 18.713934
2024-12-14 11:24: Train Epoch 28: 40/164 Loss: 15.034251
2024-12-14 11:24: Train Epoch 28: 60/164 Loss: 19.230162
2024-12-14 11:24: Train Epoch 28: 80/164 Loss: 20.223143
2024-12-14 11:25: Train Epoch 28: 100/164 Loss: 18.445913
2024-12-14 11:25: Train Epoch 28: 120/164 Loss: 19.179430
2024-12-14 11:25: Train Epoch 28: 140/164 Loss: 19.817316
2024-12-14 11:25: Train Epoch 28: 160/164 Loss: 18.027147
2024-12-14 11:25: **********Train Epoch 28: averaged Loss: 18.845139
2024-12-14 11:25: **********Val Epoch 28: average Loss: 19.152026
2024-12-14 11:25: Train Epoch 29: 0/164 Loss: 15.337135
2024-12-14 11:25: Train Epoch 29: 20/164 Loss: 20.660728
2024-12-14 11:25: Train Epoch 29: 40/164 Loss: 20.103949
2024-12-14 11:25: Train Epoch 29: 60/164 Loss: 18.938286
2024-12-14 11:25: Train Epoch 29: 80/164 Loss: 19.477009
2024-12-14 11:25: Train Epoch 29: 100/164 Loss: 17.973118
2024-12-14 11:25: Train Epoch 29: 120/164 Loss: 18.884409
2024-12-14 11:25: Train Epoch 29: 140/164 Loss: 14.793246
2024-12-14 11:25: Train Epoch 29: 160/164 Loss: 18.249626
2024-12-14 11:25: **********Train Epoch 29: averaged Loss: 18.648221
2024-12-14 11:25: **********Val Epoch 29: average Loss: 19.255470
2024-12-14 11:25: Train Epoch 30: 0/164 Loss: 19.730465
2024-12-14 11:25: Train Epoch 30: 20/164 Loss: 19.486656
2024-12-14 11:25: Train Epoch 30: 40/164 Loss: 17.469830
2024-12-14 11:25: Train Epoch 30: 60/164 Loss: 18.309576
2024-12-14 11:25: Train Epoch 30: 80/164 Loss: 17.358629
2024-12-14 11:25: Train Epoch 30: 100/164 Loss: 16.353388
2024-12-14 11:25: Train Epoch 30: 120/164 Loss: 18.867207
2024-12-14 11:26: Train Epoch 30: 140/164 Loss: 20.744680
2024-12-14 11:26: Train Epoch 30: 160/164 Loss: 25.323120
2024-12-14 11:26: **********Train Epoch 30: averaged Loss: 18.492623
2024-12-14 11:26: **********Val Epoch 30: average Loss: 19.215045
2024-12-14 11:26: Train Epoch 31: 0/164 Loss: 19.571198
2024-12-14 11:26: Train Epoch 31: 20/164 Loss: 20.249929
2024-12-14 11:26: Train Epoch 31: 40/164 Loss: 18.700451
2024-12-14 11:26: Train Epoch 31: 60/164 Loss: 17.141542
2024-12-14 11:26: Train Epoch 31: 80/164 Loss: 24.143091
2024-12-14 11:26: Train Epoch 31: 100/164 Loss: 17.152208
2024-12-14 11:26: Train Epoch 31: 120/164 Loss: 16.186153
2024-12-14 11:26: Train Epoch 31: 140/164 Loss: 17.441780
2024-12-14 11:26: Train Epoch 31: 160/164 Loss: 18.567928
2024-12-14 11:26: **********Train Epoch 31: averaged Loss: 18.473790
2024-12-14 11:26: **********Val Epoch 31: average Loss: 19.201626
2024-12-14 11:26: Train Epoch 32: 0/164 Loss: 22.835135
2024-12-14 11:26: Train Epoch 32: 20/164 Loss: 25.249773
2024-12-14 11:26: Train Epoch 32: 40/164 Loss: 14.908337
2024-12-14 11:26: Train Epoch 32: 60/164 Loss: 17.826750
2024-12-14 11:26: Train Epoch 32: 80/164 Loss: 17.101561
2024-12-14 11:26: Train Epoch 32: 100/164 Loss: 19.391014
2024-12-14 11:26: Train Epoch 32: 120/164 Loss: 16.604120
2024-12-14 11:26: Train Epoch 32: 140/164 Loss: 16.070639
2024-12-14 11:26: Train Epoch 32: 160/164 Loss: 20.040846
2024-12-14 11:26: **********Train Epoch 32: averaged Loss: 17.894018
2024-12-14 11:27: **********Val Epoch 32: average Loss: 18.524267
2024-12-14 11:27: Train Epoch 33: 0/164 Loss: 16.809322
2024-12-14 11:27: Train Epoch 33: 20/164 Loss: 17.425606
2024-12-14 11:27: Train Epoch 33: 40/164 Loss: 18.860573
2024-12-14 11:27: Train Epoch 33: 60/164 Loss: 16.052902
2024-12-14 11:27: Train Epoch 33: 80/164 Loss: 16.891336
2024-12-14 11:27: Train Epoch 33: 100/164 Loss: 17.973785
2024-12-14 11:27: Train Epoch 33: 120/164 Loss: 17.652035
2024-12-14 11:27: Train Epoch 33: 140/164 Loss: 15.594556
2024-12-14 11:27: Train Epoch 33: 160/164 Loss: 17.338549
2024-12-14 11:27: **********Train Epoch 33: averaged Loss: 18.091203
2024-12-14 11:27: **********Val Epoch 33: average Loss: 18.357213
2024-12-14 11:27: Train Epoch 34: 0/164 Loss: 16.121321
2024-12-14 11:27: Train Epoch 34: 20/164 Loss: 16.515196
2024-12-14 11:27: Train Epoch 34: 40/164 Loss: 19.902205
2024-12-14 11:27: Train Epoch 34: 60/164 Loss: 18.305935
2024-12-14 11:27: Train Epoch 34: 80/164 Loss: 19.847235
2024-12-14 11:27: Train Epoch 34: 100/164 Loss: 16.852516
2024-12-14 11:27: Train Epoch 34: 120/164 Loss: 16.910645
2024-12-14 11:27: Train Epoch 34: 140/164 Loss: 17.632093
2024-12-14 11:27: Train Epoch 34: 160/164 Loss: 17.098276
2024-12-14 11:27: **********Train Epoch 34: averaged Loss: 17.798395
2024-12-14 11:27: **********Val Epoch 34: average Loss: 18.382527
2024-12-14 11:27: Train Epoch 35: 0/164 Loss: 20.408377
2024-12-14 11:27: Train Epoch 35: 20/164 Loss: 21.351122
2024-12-14 11:28: Train Epoch 35: 40/164 Loss: 17.172670
2024-12-14 11:28: Train Epoch 35: 60/164 Loss: 15.286813
2024-12-14 11:28: Train Epoch 35: 80/164 Loss: 20.061640
2024-12-14 11:28: Train Epoch 35: 100/164 Loss: 17.103769
2024-12-14 11:28: Train Epoch 35: 120/164 Loss: 19.698303
2024-12-14 11:28: Train Epoch 35: 140/164 Loss: 20.153549
2024-12-14 11:28: Train Epoch 35: 160/164 Loss: 16.383076
2024-12-14 11:28: **********Train Epoch 35: averaged Loss: 17.447319
2024-12-14 11:28: **********Val Epoch 35: average Loss: 18.184242
2024-12-14 11:28: Train Epoch 36: 0/164 Loss: 15.233843
2024-12-14 11:28: Train Epoch 36: 20/164 Loss: 18.952885
2024-12-14 11:28: Train Epoch 36: 40/164 Loss: 15.892400
2024-12-14 11:28: Train Epoch 36: 60/164 Loss: 21.156105
2024-12-14 11:28: Train Epoch 36: 80/164 Loss: 18.621601
2024-12-14 11:28: Train Epoch 36: 100/164 Loss: 16.762924
2024-12-14 11:28: Train Epoch 36: 120/164 Loss: 16.281986
2024-12-14 11:28: Train Epoch 36: 140/164 Loss: 14.859424
2024-12-14 11:28: Train Epoch 36: 160/164 Loss: 17.835009
2024-12-14 11:28: **********Train Epoch 36: averaged Loss: 17.289858
2024-12-14 11:28: **********Val Epoch 36: average Loss: 17.541616
2024-12-14 11:28: Train Epoch 37: 0/164 Loss: 14.104794
2024-12-14 11:28: Train Epoch 37: 20/164 Loss: 17.773363
